,precision,recall,f1-score,support
AM-SSB-WC,0.0,0.0,0.0,975.0
AM-SSB-SC,0.0,0.0,0.0,2919.0
AM-DSB-WC,0.0,0.0,0.0,4867.0
AM-DSB-SC,0.0,0.0,0.0,4400.0
BPSK,0.0,0.0,0.0,4385.0
QPSK,0.0,0.0,0.0,5816.0
8PSK,0.0,0.0,0.0,0.0
16PSK,0.0,0.0,0.0,0.0
4ASK,0.0,0.0,0.0,0.0
8ASK,0.0,0.0,0.0,0.0
16QAM,0.0,0.0,0.0,2920.0
32QAM,0.09595104804061971,0.7572566144361674,0.17032094057832856,3893.0
64QAM,0.0,0.0,0.0,2899.0
128QAM,0.0,0.0,0.0,1920.0
accuracy,0.11150317572335922,0.11150317572335922,0.11150317572335922,0.11150317572335922
macro avg,0.009561194612841993,0.07284852856548325,0.016902219682595813,52429.0
weighted avg,0.014570999994319178,0.11150317572335922,0.025771446334399744,52429.0
