,precision,recall,f1-score,support
AM-SSB-WC,0.48474945533769065,0.9044715447154471,0.6312056737588653,492.0
AM-SSB-SC,0.5603550295857989,0.649519890260631,0.6016518424396442,1458.0
AM-DSB-WC,0.9980713596914176,0.4845505617977528,0.6523794516230697,2136.0
AM-DSB-SC,0.8743068391866913,0.5375,0.6657283603096411,1760.0
FM,0.2065153010858835,0.6042749855574813,0.3078281341965862,1731.0
BPSK,0.8745762711864407,0.17738054314197318,0.294941411831952,2909.0
QPSK,0.6421636615811374,0.39742489270386266,0.4909862142099682,1165.0
8PSK,0.0,0.0,0.0,0.0
16PSK,0.0,0.0,0.0,0.0
32PSK,0.0,0.0,0.0,0.0
4ASK,0.9979296066252588,0.3256756756756757,0.49108507386653083,1480.0
8ASK,0.0,0.0,0.0,1904.0
16QAM,0.18762142658895364,0.46685082872928174,0.26766976836270046,1448.0
32QAM,0.1935881627620222,0.6487603305785123,0.2981956315289649,968.0
64QAM,0.5663217309501412,0.5012489592006661,0.5318021201413428,1201.0
128QAM,0.1781630394688307,0.276,0.21654337592468056,1750.0
accuracy,0.3901201602136182,0.3901201602136182,0.3901201602136182,0.3901201602136182
macro avg,0.36193343183196314,0.30422625422290583,0.27723751041050354,26215.0
weighted avg,0.5815601162154381,0.3901201602136182,0.3831811300762811,26215.0
