,precision,recall,f1-score,support
4ASK,0.6809264305177112,0.6974602288584985,0.6890941679305115,3583.0
8ASK,0.6857282502443792,0.4798221614227086,0.5645875251509054,2924.0
16QAM,0.4706423706975888,0.7810018326206475,0.5873435167106925,3274.0
32QAM,0.46569278441788403,0.486586493987049,0.47591042750508933,2162.0
64QAM,0.30042918454935624,0.15151515151515152,0.2014388489208633,462.0
128QAM,0.2857142857142857,0.005442176870748299,0.010680907877169559,735.0
256QAM,0.26555386949924126,0.14906303236797275,0.19094380796508456,1174.0
accuracy,0.5421265893530809,0.5421265893530809,0.5421265893530809,0.5421265893530809
macro avg,0.4506695965200637,0.3929844396632537,0.38857131458004524,14314.0
weighted avg,0.5346582542887248,0.5421265893530809,0.5167558048941769,14314.0
